Region,diet_group,Percentage,Date,age_group,grouping,mean_ghgs,mean_land,mean_watscar,mean_ghgs_ch4,mean_ghgs_n2o,mean_bio,mean_acid,mean_watuse,n_participants,Region_Population,Per_Person_GHGs,Scaled GHGs,Scaled Land Use
London,vegan,4,2022-04-01,20-29,vegan_female_20-29,2383.216383473,4049.672932221,13526411.130525,138.213165716,198.465641654,109763.87161257,10489.060925259,411915.6576172,487.0,9294023,4.8936681385482546,1819274.5693613866,3091396.581070999
London,vegan,4,2022-04-01,20-29,vegan_male_20-29,2843.22830886,4845.974177056,15880592.028433,161.167919652,230.182435952,124675.16425107,12428.286924933,492222.2786746,198.0,9294023,14.359738933636365,5338389.756928474,9098706.15332617
London,vegan,4,2022-04-01,30-39,vegan_female_30-39,2540.393020847,4262.57299745,13977927.843938,151.392087424,212.639307399,123441.89220552,11007.468070412,425503.5996251,376.0,9294023,6.756364417146277,2511752.2515735636,4214516.114625451
London,vegan,4,2022-04-01,30-39,vegan_male_30-39,2698.172418304,4490.25876692,15193403.25858,145.903105765,217.411423007,126109.66552563,11770.707828851,452753.2876556,251.0,9294023,10.749690909577689,3996314.9822602384,6650608.486965118
London,vegan,4,2022-04-01,40-49,vegan_female_40-49,2657.602421868,4525.625972831,15304059.745505,172.36196784,222.044143297,127590.25100421,11872.14351147,451688.2750781,219.0,9294023,12.135170876109589,4511382.289259707,7682424.08783355
London,vegan,4,2022-04-01,40-49,vegan_male_40-49,2694.366019617,4553.663880856,14841207.695543,147.843090695,224.855780201,132012.33409226,11678.90812963,441906.1889351,165.0,9294023,16.329491027981817,6070666.607694265,10259844.083138162
London,vegan,4,2022-04-01,50-59,vegan_female_50-59,2520.496825096,4427.549281559,15130223.558038,142.11403315,218.735418186,125142.39314571,11467.556763393,424692.8309056,106.0,9294023,23.778271934867924,8839832.25051668,15528205.606204838
London,vegan,4,2022-04-01,50-59,vegan_male_50-59,2524.737409503,4413.799280802,14370528.918144,142.867339974,211.573632669,122925.27060284,11196.164372016,416335.442421,62.0,9294023,40.721571121016126,15138688.743794385,26465775.50526274
London,vegan,4,2022-04-01,60-69,vegan_female_60-69,2633.644804226,4742.450322123,15675198.73058,145.497196981,223.279134154,128762.13270617,11907.675093925,439410.9382185,81.0,9294023,32.51413338550617,12087484.140398487,21766144.380330157
London,vegan,4,2022-04-01,60-69,vegan_male_60-69,2427.010725764,4559.575998788,17095889.355713,108.715468958,213.271624774,117694.37134411,11452.590982967,477762.3619724,52.0,9294023,46.673283187769236,17351302.697305623,32597541.694602802
London,vegan,4,2022-04-01,70-79,vegan_female_70-79,2839.875594178,4757.807694581,16572485.297502,195.633864786,229.870085728,135010.84492166,12369.18122838,505930.7334576,25.0,9294023,113.59502376712,42230190.543086395,70750678.62882045
London,vegan,4,2022-04-01,70-79,vegan_male_70-79,2587.986805198,4499.38951313,16181930.817624,164.137273053,217.562651141,119285.6002036,11543.243117288,460111.6967641,19.0,9294023,136.20983185252632,50637492.40254049,88036693.93892424
London,veggie,7,2022-04-01,20-29,veggie_female_20-29,4319.955997758,6207.026791511,15116316.008132,767.126570386,290.159041211,242831.49444475,20430.360412,545573.1476233,3752.0,9294023,1.1513741998288913,749062.880637142,1076273.316453721
London,veggie,7,2022-04-01,20-29,veggie_male_20-29,4899.777121339,6903.258500653,16770457.919306,852.620861553,322.55469485,268229.958412,23130.38268794,609392.3080941,646.0,9294023,7.584794305478328,4934527.690776923,6952218.312075876
London,veggie,7,2022-04-01,30-39,veggie_female_30-39,4367.724164195,6265.816777324,15473426.301768,766.631297929,293.230105402,248109.63180568,20834.74315878,547908.9722044,3634.0,9294023,1.2019053836529996,781937.5395646363,1121746.0558493286
London,veggie,7,2022-04-01,30-39,veggie_male_30-39,4807.758162693,6787.162913364,16603476.202238,811.991240451,316.325517516,266148.8972905,22864.09092652,594307.0152665,1221.0,9294023,3.9375578728034393,2561702.740356637,3616382.780924359
London,veggie,7,2022-04-01,40-49,veggie_female_40-49,4386.548303825,6317.881972941,15792643.373123,766.623857288,292.515519197,248886.96790858,21156.39647047,546728.9578291,2696.0,9294023,1.6270579761962167,1058533.9977170764,1524591.1816565031
London,veggie,7,2022-04-01,40-49,veggie_male_40-49,4610.379492209,6610.474189688,16477661.724032,764.687251658,304.605360566,251351.9262479,21866.19864283,576240.6652619,961.0,9294023,4.797481261403746,3121153.0829888806,4475185.162529307
London,veggie,7,2022-04-01,50-59,veggie_female_50-59,4370.471444328,6310.075911589,16380318.605413,755.226412031,293.825073014,246156.87949091,21287.99944948,553108.3546952,1203.0,9294023,3.6329770942044886,2363548.087040678,3412484.9092134577
London,veggie,7,2022-04-01,50-59,veggie_male_50-59,4455.095310198,6522.06762817,16333409.31528,733.031130896,299.52328766,244248.4288057,21186.60753071,559640.001432,426.0,9294023,10.457970211732395,6803763.097680903,9960416.098741127
London,veggie,7,2022-04-01,60-69,veggie_female_60-69,4472.485087662,6476.280588035,16815591.083498,795.629508594,299.65654976,253656.31137871,21846.14780156,564219.2593341,536.0,9294023,8.34418859638433,5428575.651179358,7860725.842864847
London,veggie,7,2022-04-01,60-69,veggie_male_60-69,4444.84358452,6628.730014408,16725207.749553,738.549691927,305.724163381,248603.8537398,21321.33244937,566825.9603656,229.0,9294023,19.40979731231441,12627657.185219184,18832008.056894675
London,veggie,7,2022-04-01,70-79,veggie_female_70-79,4473.445256478,6632.652876176,17181322.996656,798.71889352,305.595039732,256697.8807305,21911.67941945,565183.8732052,289.0,9294023,15.479049330373703,10070384.834623948,14931079.538940186
London,veggie,7,2022-04-01,70-79,veggie_male_70-79,4612.451445292,6842.65292261,17972881.278657,794.672849943,319.632836765,259421.3507273,22133.81134382,602571.5334267,158.0,9294023,29.192730666405065,18992253.717246182,28175342.753562152
London,meat,18,2022-04-01,20-29,meat50-99_female_20-29,6913.346378262,11483.908972856,18869857.76377,1340.651639907,497.019244658,295261.4160434,31841.35588879,853067.0371684,669.0,9294023,10.33385108858296,17287748.94525571,28717053.12743409
London,meat,18,2022-04-01,20-29,meat50-99_male_20-29,7387.087141033,11813.753911057,20069386.41303,1416.736588672,526.701588659,315329.2617736,34217.01721679,903817.2185316,151.0,9294023,48.92110689425828,81841300.6789251,130884199.34984547
London,meat,18,2022-04-01,30-39,meat50-99_female_30-39,7135.58166656,11994.261494591,18849367.94149,1403.059285251,507.654792695,305726.5789884,32487.53444322,846420.7622289,1350.0,9294023,5.285616049303703,8842434.683651594,14863325.626499083
London,meat,18,2022-04-01,30-39,meat50-99_male_30-39,7594.977983203,12457.481330451,20166206.75629,1484.898333897,543.7868378000001,327735.7784386,34928.18006258,894984.4505135,304.0,9294023,24.983480207904606,41795467.14101583,68554017.24115393
London,meat,18,2022-04-01,40-49,meat50-99_female_40-49,7484.151329541,13124.07017211,18754898.01195,1498.014684239,527.166375872,317036.7591402,33511.53700702,840702.2575298001,2710.0,9294023,2.761679457395203,4620080.231218536,8101687.751282941
London,meat,18,2022-04-01,40-49,meat50-99_male_40-49,7781.512620765,13684.227209555,19024795.00326,1541.129376513,553.747728038,330672.2034882,34776.60356647,825704.8464032,663.0,9294023,11.736821449117647,19634811.92909869,34528920.11479547
London,meat,18,2022-04-01,50-59,meat50-99_female_50-59,7586.115661522,13376.78299764,18907620.02015,1532.156192509,530.448101187,317633.8983009,33984.66013005,853522.1349537,2682.0,9294023,2.8285293294265474,4731914.995895683,8343901.264837256
London,meat,18,2022-04-01,50-59,meat50-99_male_50-59,7752.900129514,13735.965671516,18955503.93538,1546.929675381,545.84339208,321302.9927782,34523.29983909,851293.1917815,671.0,9294023,11.554247584968703,19329379.704430845,34246242.26242984
London,meat,18,2022-04-01,60-69,meat50-99_female_60-69,7541.230540435,13030.556722137,19476050.05277,1527.971351039,529.024886747,317101.3936082,34295.80924761,885594.0181619,1456.0,9294023,5.179416579969093,8664771.027746536,14971931.935509793
London,meat,18,2022-04-01,60-69,meat50-99_male_60-69,7835.827297245,13971.773399314,19187992.73848,1579.146512461,550.46982194,326034.4979316,34766.99641503,857247.7226442,634.0,9294023,12.359349049282335,20676253.379230466,36867061.51154929
London,meat,18,2022-04-01,70-79,meat50-99_female_70-79,7611.196494765,13551.47330904,19784739.88134,1554.789805749,541.96477774,324067.7818591,34070.38653639,884080.8362441,450.0,9294023,16.913769988366667,28295454.111946113,50379081.84724155
London,meat,18,2022-04-01,70-79,meat50-99_male_70-79,8023.873929639,14815.728807134,19365564.25826,1649.471965289,567.785546484,329427.4206044,34587.44790741,870016.5619882,231.0,9294023,34.73538497679221,58109664.039869025,107296928.02228516
London,fish,4,2022-04-01,20-29,fish_female_20-29,4902.947125081,6489.030806882,17131963.351906,842.863531942,322.486106938,248135.21166088,22770.95614381,759237.2105686,1329.0,9294023,3.689200244605719,1371500.476998847,1815175.3669486793
London,fish,4,2022-04-01,20-29,fish_male_20-29,5659.688871226,7381.889374139,19671024.653972,925.972458962,366.328778242,273612.3086798,26078.89770118,860979.7440421,163.0,9294023,34.722017614883434,12908289.21276527,16836183.957473245
London,fish,4,2022-04-01,30-39,fish_female_30-39,4942.664483793,6515.886259015,17652628.539581,836.500414364,321.970771612,249827.68412553,23257.77137329,759629.6132108,2024.0,9294023,2.442027907012352,907850.5413765863,1196814.1651515684
London,fish,4,2022-04-01,30-39,fish_male_30-39,5327.205952942,6977.105921564,18953095.158366,854.536975955,343.782185164,262360.838158,24710.1459431,818712.7748626,412.0,9294023,12.930111536266992,4806910.16042523,6295668.243539031
